dataset,category,seed,fallback_budget,fast_only_auroc,risk_auroc,random_auroc,fast_score_auroc,uncertainty_auroc,fast_only_recall,risk_recall,random_recall,fast_score_recall,uncertainty_recall,risk_delta,risk_recall_delta,risk_minus_fast_score,risk_minus_uncertainty,fallback_rate,fallback_count,total
MVTec,bottle,5,0.1,0.9523809523809523,0.9841269841269841,0.8841269841269841,0.9523809523809523,0.953968253968254,0.7142857142857143,0.9523809523809523,0.1111111111111111,0.7142857142857143,0.7301587301587301,0.09999999999999998,0.8412698412698412,0.031746031746031744,0.03015873015873005,0.10843373493975904,9,83
MVTec,cable,5,0.1,0.8002248875562219,0.8525112443778111,0.7014617691154422,0.8002248875562219,0.7923538230884558,0.2826086956521739,0.6195652173913043,0.07608695652173914,0.2826086956521739,0.25,0.1510494752623689,0.5434782608695652,0.05228635682158922,0.060157421289355306,0.1,15,150
MVTec,capsule,5,0.1,0.7351416035101715,0.7243717590745912,0.6386118867171918,0.7351416035101715,0.5907459114479457,0.22018348623853212,0.25688073394495414,0.09174311926605505,0.22018348623853212,0.07339449541284404,0.08575987235739935,0.1651376146788991,-0.010769844435580378,0.13362584762664542,0.10606060606060606,14,132
MVTec,carpet,5,0.1,0.5256821829855538,0.8976725521669342,0.5401284109149278,0.5292937399678973,0.5710272873194222,0.056179775280898875,0.8426966292134831,0.10112359550561797,0.07865168539325842,0.16853932584269662,0.3575441412520064,0.7415730337078651,0.3683788121990369,0.326645264847512,0.10256410256410256,12,117
MVTec,grid,5,0.1,0.5672514619883041,0.5605680868838764,0.48203842940685043,0.568922305764411,0.6031746031746031,0.14035087719298245,0.14035087719298245,0.07017543859649122,0.14035087719298245,0.2631578947368421,0.07852965747702595,0.07017543859649122,-0.00835421888053467,-0.04260651629072676,0.10256410256410256,8,78
MVTec,hazelnut,5,0.1,0.9057142857142857,0.9575,0.8235714285714286,0.9057142857142857,0.9096428571428572,0.6428571428571429,0.8428571428571429,0.1,0.6428571428571429,0.6714285714285714,0.1339285714285714,0.7428571428571429,0.051785714285714324,0.04785714285714282,0.1,11,110
MVTec,leather,5,0.1,0.9059103260869565,0.9996603260869565,0.8145380434782609,0.9059103260869565,0.9069293478260869,0.6847826086956522,1.0,0.09782608695652174,0.6847826086956522,0.6847826086956522,0.18512228260869568,0.9021739130434783,0.09375,0.09273097826086962,0.10483870967741936,13,124
MVTec,metal_nut,5,0.1,0.7634408602150538,0.8880742913000977,0.7517106549364614,0.7634408602150538,0.7644183773216031,0.41935483870967744,0.7634408602150538,0.10752688172043011,0.41935483870967744,0.4838709677419355,0.13636363636363635,0.6559139784946236,0.12463343108504399,0.12365591397849462,0.10434782608695652,12,115
MVTec,pill,5,0.1,0.7525913802509547,0.6950354609929078,0.7304964539007093,0.7525913802509547,0.7133115111838516,0.3049645390070922,0.09929078014184398,0.09219858156028368,0.3049645390070922,0.09929078014184398,-0.03546099290780147,0.007092198581560294,-0.05755591925804693,-0.018276050190943804,0.10179640718562874,17,167
MVTec,screw,5,0.1,0.5203935232629637,0.47366263578602175,0.5095306415249027,0.5244927239188358,0.5814716130354581,0.025210084033613446,0.1092436974789916,0.07563025210084033,0.07563025210084033,0.15126050420168066,-0.03586800573888094,0.033613445378151266,-0.05083008813281409,-0.10780897724943639,0.1,16,160
