dataset,unit_count,fast_only_auroc_mean,risk_auroc_mean,random_auroc_mean,fast_score_auroc_mean,uncertainty_auroc_mean,risk_random_delta_mean,risk_random_delta_low,risk_random_delta_high,risk_fast_score_delta_mean,risk_fast_score_delta_low,risk_fast_score_delta_high,risk_uncertainty_delta_mean,risk_uncertainty_delta_low,risk_uncertainty_delta_high
MVTec,45,0.7862042852746831,0.8343250895082167,0.7094351685614977,0.7918143164810811,0.7597108448364804,0.12488992094671914,0.0837111871437343,0.16589295233944565,0.04251077302713568,0.0039613829790018824,0.08330981848255323,0.0746142446717364,0.043889253621928484,0.10534635035777361
MPDD,18,0.850182542533702,0.7871201494374569,0.6705316127011169,0.8504094659683035,0.5990638945348861,0.11658853673633995,0.07154628016871077,0.161151481596224,-0.0632893165308466,-0.09055393843934396,-0.03651357188211105,0.18805625490257083,0.08622994005860479,0.30233848929717216
VisA,36,0.9656699053823302,0.9532073174848702,0.9404343429728841,0.970075498258049,0.9468580596268595,0.012772974511986048,0.008144925865914912,0.017131204665220875,-0.01686818077317885,-0.021598143600881515,-0.012295104679964556,0.006349257858010635,0.0020405706543128854,0.010726799066426483
